Costa Rica,5044.18,5417.38,5658.90,5774.07,5765.41,5660.05
El Salvador,6479.07,6785.58,6961.52,6997.41,6906.03,6680.51
Guatemala,17910.81,21202.73,24264.47,26968.29,29215.83,30867.07
Honduras,9719.27,11147.35,12339.42,13248.66,13856.01,14142.49
Mexico,133870.03,147540.13,157689.67,164279.30,167182.21,166496.01
Nicaragua,6416.57,7046.29,7548.56,7875.74,8021.90,7977.29
Panama,4289.33,4884.31,5399.08,5827.11,6146.71,6363.38
South America,435666.85,467099.89,488521.20,500019.96,502276.72,496182.18
Argentina,45510.40,49323.31,52585.64,55228.90,57142.44,58221.09
Bolivia,11543.98,13158.07,14643.34,15903.46,16894.69,17574.36
Brazil,213863.05,225472.21,231601.66,232688.04,229293.39,221895.31
Chile,18472.64,19637.32,20378.60,20718.13,20697.07,20413.67
Columbia,50220.41,53134.13,54615.10,54732.76,53765.46,52048.55
Ecuador,17335.64,19554.86,21461.74,22968.45,24041.84,24670.21
Falkland Islands (Malvinas),2.93,2.93,2.89,2.84,2.78,2.72
French Guiana,303.98,379.46,460.97,542.16,619.69,694.34
Guyana,790.78,824.98,835.12,821.91,793.11,751.79
Paraguay,7066.33,7844.90,8460.30,8897.18,9160.88,9225.41
Peru,33312.18,36806.78,39606.09,41620.31,42772.08,43124.19
Suriname,577.75,616.73,640.02,648.40,646.10,636.14
Uruguay,3494.39,3594.30,3650.96,3662.44,3634.28,3567.82
Venezuela,33172.39,36749.90,39578.76,41584.99,42812.91,43356.58
NORTHERN AMERICA,369158.56,395452.59,417193.46,434654.82,451300.68,467506.53
Bermuda,60.64,59.27,56.87,53.38,50.12,47.76
Canada,37603.21,40617.54,43004.69,44948.60,46629.08,48239.73
Greenland,56.77,57.23,55.94,53.80,51.83,49.98
Saint Pierre and Miquelon,6.41,6.88,7.22,7.38,7.43,7.42
United States,331431.53,354711.67,374068.75,389591.66,404562.23,419161.63
OCEANIA,42383.79,47683.18,52572.33,57121.46,61199.63,64737.02
Australia/New Zealand,30232.60,33447.85,36266.81,38898.30,41267.98,43348.09
Australia,25398.18,28234.74,30764.64,33186.82,35404.46,37357.01
New Zealand,4834.42,5213.10,5502.17,5711.48,5863.52,5991.08
Melanesia,10908.73,12904.78,14890.92,16754.47,18430.22,19865.47
Fiji,924.92,970.27,994.80,998.19,985.26,960.42
New Caledonia,286.91,321.10,351.66,377.51,398.61,415.41
Papua New Guinea,8755.68,10486.89,12224.30,13871.40,15366.89,16655.56
Solomon Islands,647.30,772.55,905.07,1032.78,1149.84,1255.88
Vanuatu,293.93,353.97,415.08,474.59,529.62,578.20
Micronesia,541.21,588.60,628.98,656.18,674.50,687.55
Guam,168.73,181.01,189.16,192.65,193.37,192.29
Kiribati,122.44,141.54,159.30,178.09,195.29,209.96
Marshall Islands,53.25,55.63,61.86,65.87,67.50,71.17
Micronesia (Fed. States of),107.77,117.43,124.49,128.19,130.59,128.82
Nauru,11.23,11.45,11.52,11.34,10.98,10.58
Northern Mariana Islands,55.35,56.78,56.19,52.47,48.28,45.74
Palau,22.44,24.76,26.46,27.58,28.49,29.00
Polynesia,701.25,741.96,785.62,812.50,826.94,835.90
American Samoa,55.80,57.15,57.95,56.76,54.93,52.45
Cook Islands,17.52,17.86,17.95,17.95,17.86,17.50
French Polynesia,290.74,306.76,319.84,325.71,325.44,320.93
Niue,1.63,1.67,1.74,1.79,1.82,1.84
Samoa,200.12,212.10,229.93,243.37,252.89,262.39
Tokelau,1.36,1.44,1.50,1.56,1.60,1.61
Tonga,111.04,121.06,131.91,139.93,146.23,152.47
Tuvalu,11.50,12.70,13.74,14.58,15.52,16.31
Wallis and Futuna Islands,11.55,11.22,11.07,10.86,10.65,10.41
