"","List_Of_Countries","Mandarin_2070","English_2070","Hindi_2070","Spanish_2070","Arabic_2070","Malay_2070","Russian_2070","Bengali_2070","Portuguese_2070","French_2070","Hausa_2070","Punjabi_2070","Japanese_2070","German_2070","Persian_2070"
"12","Bangladesh",0,1.4643270345759,0,0,0,0,0,55.5834166330248,0,0,0,0,0,0,0
"13","Egypt, Arab Rep.",0,2.40638634177784,0,0,28.7793942305091,0,0,0,0,0.955408729794001,0,0,0,0,0
"14","Thailand",0,0.693648705134812,0,0,0,0.652963940056674,0,0,0,0,0,0,0,0,0
"15","Netherlands",0,0.682280702003618,0,0.136040513501177,0,0,0,0,0,0.735787517205046,0,0,0,0,0
"16","Nepal",0,0.72361611586555,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","South Africa",0,1.05928534222979,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Poland",0,0.449465604511692,0,0.0435985874494114,0,0,0,0,0,0.168433524414623,0,0,0,0,0
"19","Turkey",0.00107498538293894,0.713919997626936,0.000518005498767646,0,0.014978285953238,0,0,0.000209255864986471,0,0,0,0.00270398944872348,0,0,0.0401616378716075
"20","Iraq",0,1.74967879904107,0,11.8351076740527,0.00869843295159058,0,0,0,0,0.000397849614899743,0,0,0,0,0
"21","Sri Langka",0,0.262400483980512,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Spain",0,0.318894175119174,0,5.35274235617825,0,0,0,0,0,0.721644212686602,0,0,0,0,0
"23","Brazil",0,0.492594941374051,0,1.06076425819871,0,0,0,0,70.8928601049319,0,0,0,0,0,0
"24","Sweden",0,0.475156370009929,0,0.118978101579445,0,0,0,0,0,0.280894562626264,0,0,0,0,0
"25","Kenya",0,1.0069341960711,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Cameroon",0,1.14901393338824,0,0,0,0,0,0,0,5.59003120945978,0,0,0,0,0
"27","Malaysia",1.2836232357801,1.29654585270249,0.0244493062169608,0.0180144122732891,0,9.92545975434511,0,0.277930736970612,0,0,0,0.0196639054138627,0,0,0
"28","Russia",0.0010825017491813,0.311619065145512,0,0.0334055731876847,0,0,82.3111370591053,0,0,0,0,0,0,0,0.0330770316960553
"29","Belgium",0,0.338170133858823,0,0.101142034046579,0,0,0,0,0,1.87555169183729,0,0,0,0,0
"30","Israel",0,0.558652386822783,0,0,0.734852652407043,0,0,0,0,0,0,0,0,0,0
"31","Austria",0,0.276677610490805,0,0.0544112655796749,0,0,0,0,0,0.19268876092386,0,0,0,8.32768518949241,0
"32","Romania",0,0.0354476092521513,0,0.0270790785647782,0,0,0,0,0,0.0435050422371613,0,0,0,0,0
"33","Myanmar",0,0.116546502726275,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Madagascar",0,0.585593810491766,0,0,0,0,0,0,0,3.00722907076542,0,0,0,0,0
"35","Zimbabwe",0,0.66794953670831,0,0,0,0,0,0,0,0,0,0,0,0,0
