Country Origin Name,Country Dest Name,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000],Include,L_Or,L_Des,,
Indonesia,Malaysia,5398,56436,125723,407154,885328,TRUE,Malay,Malay,FALSE,FALSE
Indonesia,Russian Federation,0,0,0,0,4,FALSE,Malay,Russian,TRUE,FALSE
Indonesia,Saudi Arabia,3541,19941,101686,264929,286600,TRUE,Malay,Arabic,TRUE,TRUE
Indonesia,Sudan,37,36,46,59,71,FALSE,Malay,Arabic,TRUE,FALSE
Indonesia,Turkey,0,1,2,3,179,FALSE,Malay,Turkish,TRUE,FALSE
Indonesia,France,24033,2403,1493,3578,40544,TRUE,Malay,French,TRUE,TRUE
Indonesia,Japan,158,2564,5673,3797,19130,TRUE,Malay,Japanese,TRUE,TRUE
Indonesia,Singapore,25945,26946,27026,37770,70008,TRUE,Malay,English,TRUE,TRUE
Philippines,United Arab Emirates,7,224,2441,4530,7783,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Qatar,5,77,445,3403,19110,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Oman,850,1223,2845,8250,12147,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Switzerland,601,495,417,1175,5211,TRUE,Tagalog,German,TRUE,TRUE
Philippines,Afghanistan,0,0,0,0,0,FALSE,Tagalog,Arabic,TRUE,FALSE
Philippines,Australia,411,1135,14880,71010,102420,TRUE,Tagalog,English,TRUE,TRUE
Philippines,Canada,2423,31892,62629,94814,233010,TRUE,Tagalog,English,TRUE,TRUE
Philippines,Germany,753,986,1517,15153,60903,TRUE,Tagalog,German,TRUE,TRUE
Philippines,United Kingdom,628,143,12179,22325,16,TRUE,Tagalog,English,TRUE,TRUE
Philippines,United States,111801,246767,590421,1059379,1505820,TRUE,Tagalog,English,TRUE,TRUE
Philippines,Iraq,10,6,4,2,0,FALSE,Tagalog,Arabic,TRUE,FALSE
Philippines,Jordan,8,15,50,1408,3794,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Kuwait,224,390,388,27552,26017,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Lebanon,5,14,30,2038,12789,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Malaysia,418,14889,48372,168737,175740,TRUE,Tagalog,Malay,TRUE,TRUE
Philippines,Russian Federation,0,0,0,0,6580,TRUE,Tagalog,Russian,TRUE,TRUE
Philippines,Saudi Arabia,4569,25733,131223,341884,369850,TRUE,Tagalog,Arabic,TRUE,TRUE
Philippines,Sudan,73,70,89,114,138,FALSE,Tagalog,Arabic,TRUE,FALSE
Philippines,Turkey,2,4,5,10,582,FALSE,Tagalog,Turkish,TRUE,FALSE
Philippines,France,4963,496,308,2849,8373,TRUE,Tagalog,French,TRUE,TRUE
Philippines,Japan,455,7521,16641,44533,121274,TRUE,Tagalog,Japanese,TRUE,TRUE
Philippines,Singapore,202,8319,4882,747,18793,TRUE,Tagalog,English,TRUE,TRUE
Sudan,United Arab Emirates,41,1225,13377,24821,42646,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Qatar,46,72,940,1202,10376,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Oman,704,1012,2354,6827,10052,TRUE,Arabic,Arabic,FALSE,FALSE
Sudan,Switzerland,23,6,30,24,644,FALSE,Arabic,German,TRUE,FALSE
Sudan,Afghanistan,0,2,1,3,4,FALSE,Arabic,Arabic,FALSE,FALSE
Sudan,Australia,169,461,1348,1231,4862,TRUE,Arabic,English,TRUE,TRUE
