"","Origin","Destination","Intercept","Slope","p-value","R^2","2020","2030","2040","2050","2060","2070"
"87","Pakistan","Singapore","-571.800000000001","239.34","0.145211360601071","0.560868092725585",13788.6,16182,18575.4,20968.8,23362.2,25755.6
"88","Indonesia","United Arab Emirates","-751.6","153.2","0.00725604233503355","0.934520703208529",8440.4,9972.4,11504.4,13036.4,14568.4,16100.4
"89","Indonesia","Qatar","-2931.6","319.82","0.12706677495468","0.594187406386502",16257.6,19455.8,22654,25852.2,29050.4,32248.6
"90","Indonesia","Switzerland","108.4","18.13","0.195923249557922","0.478128227432339",1196.2,1377.5,1558.8,1740.1,1921.4,2102.7
"91","Indonesia","Australia","311.800000000001","1055.79","0.00885268010615825","0.925381266105613",63659.2,74217.1,84775,95332.9,105890.8,116448.7
"92","Indonesia","Canada","-882.8","264.32","0.00595170371432647","0.942527260402972",14976.4,17619.6,20262.8,22906,25549.2,28192.4
"93","Indonesia","Germany","1703.8","241","0.0536456189495856","0.761110713351996",16163.8,18573.8,20983.8,23393.8,25803.8,28213.8
"94","Indonesia","United Kingdom","3094.8","-47.96","0.697734501365972","0.0574631704692671",217.2,-262.4,-742,-1221.6,-1701.2,-2180.8
"95","Indonesia","United States","-7686.6","2072.51","0.00555364620847191","0.945089860037358",116664,137389.1,158114.2,178839.3,199564.4,220289.5
"96","Indonesia","Jordan","-2037.4","206.52","0.176163530924676","0.508757385989311",10353.8,12419,14484.2,16549.4,18614.6,20679.8
"97","Indonesia","Kuwait","-3765.4","607.55","0.0639008438338549","0.733411701026047",32687.6,38763.1,44838.6,50914.1,56989.6,63065.1
"98","Indonesia","Lebanon","-2013.2","213.02","0.135222476037346","0.57892870057285",10768,12898.2,15028.4,17158.6,19288.8,21419
"99","Indonesia","Malaysia","-126107.8","21105.78","0.0286769668674497","0.839691119951137",1140239,1351296.8,1562354.6,1773412.4,1984470.2,2195528
